id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,rata_rata_harga_produsen,satuan,tahun
47,32,JAWA BARAT,3204,KABUPATEN BANDUNG,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
48,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
49,32,JAWA BARAT,3205,KABUPATEN GARUT,1,JANUARI,0,RUPIAH/KILOGRAM,2021
50,32,JAWA BARAT,3205,KABUPATEN GARUT,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
51,32,JAWA BARAT,3205,KABUPATEN GARUT,3,MARET,0,RUPIAH/KILOGRAM,2021
52,32,JAWA BARAT,3205,KABUPATEN GARUT,4,APRIL,0,RUPIAH/KILOGRAM,2021
53,32,JAWA BARAT,3205,KABUPATEN GARUT,5,MEI,0,RUPIAH/KILOGRAM,2021
54,32,JAWA BARAT,3205,KABUPATEN GARUT,6,JUNI,0,RUPIAH/KILOGRAM,2021
55,32,JAWA BARAT,3205,KABUPATEN GARUT,7,JULI,0,RUPIAH/KILOGRAM,2021
56,32,JAWA BARAT,3205,KABUPATEN GARUT,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
57,32,JAWA BARAT,3205,KABUPATEN GARUT,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
58,32,JAWA BARAT,3205,KABUPATEN GARUT,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
59,32,JAWA BARAT,3205,KABUPATEN GARUT,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
60,32,JAWA BARAT,3205,KABUPATEN GARUT,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
61,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,JANUARI,0,RUPIAH/KILOGRAM,2021
62,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3,MARET,0,RUPIAH/KILOGRAM,2021
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4,APRIL,0,RUPIAH/KILOGRAM,2021
65,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,MEI,0,RUPIAH/KILOGRAM,2021
66,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,JUNI,0,RUPIAH/KILOGRAM,2021
67,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7,JULI,0,RUPIAH/KILOGRAM,2021
68,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
69,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
70,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
71,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
72,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
73,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1,JANUARI,19000,RUPIAH/KILOGRAM,2021
74,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,FEBRUARI,20000,RUPIAH/KILOGRAM,2021
75,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3,MARET,19097,RUPIAH/KILOGRAM,2021
76,32,JAWA BARAT,3207,KABUPATEN CIAMIS,4,APRIL,18783,RUPIAH/KILOGRAM,2021
77,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,MEI,18520,RUPIAH/KILOGRAM,2021
78,32,JAWA BARAT,3207,KABUPATEN CIAMIS,6,JUNI,18667,RUPIAH/KILOGRAM,2021
79,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7,JULI,17097,RUPIAH/KILOGRAM,2021
80,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8,AGUSTUS,16516,RUPIAH/KILOGRAM,2021
81,32,JAWA BARAT,3207,KABUPATEN CIAMIS,9,SEPTEMBER,17000,RUPIAH/KILOGRAM,2021
82,32,JAWA BARAT,3207,KABUPATEN CIAMIS,10,OKTOBER,18016,RUPIAH/KILOGRAM,2021
83,32,JAWA BARAT,3207,KABUPATEN CIAMIS,11,NOVEMBER,19300,RUPIAH/KILOGRAM,2021
84,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,DESEMBER,18681,RUPIAH/KILOGRAM,2021
85,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1,JANUARI,19677,RUPIAH/KILOGRAM,2021
86,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2,FEBRUARI,18000,RUPIAH/KILOGRAM,2021
87,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,MARET,20000,RUPIAH/KILOGRAM,2021
88,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,APRIL,17000,RUPIAH/KILOGRAM,2021
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5,MEI,18000,RUPIAH/KILOGRAM,2021
90,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6,JUNI,18483,RUPIAH/KILOGRAM,2021
91,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7,JULI,18452,RUPIAH/KILOGRAM,2021
92,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8,AGUSTUS,17887,RUPIAH/KILOGRAM,2021
93,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,9,SEPTEMBER,18000,RUPIAH/KILOGRAM,2021
94,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10,OKTOBER,20600,RUPIAH/KILOGRAM,2021
95,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,11,NOVEMBER,22000,RUPIAH/KILOGRAM,2021
96,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12,DESEMBER,22548,RUPIAH/KILOGRAM,2021
97,32,JAWA BARAT,3209,KABUPATEN CIREBON,1,JANUARI,0,RUPIAH/KILOGRAM,2021
98,32,JAWA BARAT,3209,KABUPATEN CIREBON,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
99,32,JAWA BARAT,3209,KABUPATEN CIREBON,3,MARET,0,RUPIAH/KILOGRAM,2021
100,32,JAWA BARAT,3209,KABUPATEN CIREBON,4,APRIL,0,RUPIAH/KILOGRAM,2021
101,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,MEI,0,RUPIAH/KILOGRAM,2021
102,32,JAWA BARAT,3209,KABUPATEN CIREBON,6,JUNI,0,RUPIAH/KILOGRAM,2021
103,32,JAWA BARAT,3209,KABUPATEN CIREBON,7,JULI,0,RUPIAH/KILOGRAM,2021
104,32,JAWA BARAT,3209,KABUPATEN CIREBON,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
105,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
106,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
107,32,JAWA BARAT,3209,KABUPATEN CIREBON,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
108,32,JAWA BARAT,3209,KABUPATEN CIREBON,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
109,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1,JANUARI,0,RUPIAH/KILOGRAM,2021
110,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
111,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3,MARET,0,RUPIAH/KILOGRAM,2021
112,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4,APRIL,0,RUPIAH/KILOGRAM,2021
113,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5,MEI,0,RUPIAH/KILOGRAM,2021
114,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,JUNI,0,RUPIAH/KILOGRAM,2021
115,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7,JULI,0,RUPIAH/KILOGRAM,2021
116,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
119,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
120,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
121,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,JANUARI,0,RUPIAH/KILOGRAM,2021
122,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
123,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3,MARET,0,RUPIAH/KILOGRAM,2021
124,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4,APRIL,0,RUPIAH/KILOGRAM,2021
125,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5,MEI,0,RUPIAH/KILOGRAM,2021
126,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6,JUNI,0,RUPIAH/KILOGRAM,2021
127,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7,JULI,0,RUPIAH/KILOGRAM,2021
128,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
131,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
132,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
133,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,JANUARI,0,RUPIAH/KILOGRAM,2021
134,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
135,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3,MARET,0,RUPIAH/KILOGRAM,2021
136,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4,APRIL,0,RUPIAH/KILOGRAM,2021
137,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,MEI,0,RUPIAH/KILOGRAM,2021
138,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,JUNI,0,RUPIAH/KILOGRAM,2021
139,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7,JULI,0,RUPIAH/KILOGRAM,2021
140,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
141,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
142,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
143,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
144,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,1,JANUARI,20000,RUPIAH/KILOGRAM,2021
